title,description,rating,itemType,identifier,notes,genreIds,tmdbId,popularity,releaseDate,coverLink,originalCoverLink,language,ean,discType,isDetailed,budget,revenue,runtime,credits,seasonNumber,originalSeasonNumber,episodeCount
Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters  Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",,MOVIE,,,"[16, 35, 10751, 12]",425,94.474,2002-03-10 0:00:00,https://image.tmdb.org/t/p/w780/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg,https://image.tmdb.org/t/p/w780/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg,en,24543046646,,TRUE,59000000,383257136,81,,,,
The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",,MOVIE,,,"[28, 12, 14]",122917,121.184,2014-12-10 0:00:00,https://image.tmdb.org/t/p/w780/xT98tLqatZPQApyRmlPL12LtiWp.jpg,https://image.tmdb.org/t/p/w780/xT98tLqatZPQApyRmlPL12LtiWp.jpg,en,,,TRUE,250000000,956019788,144,,,,
The Big Bang Theory: Season 6,"Whether on or above Earth, hilarity is outrageously universal in TV's most popular comedy featuring four forward-thinking but socially backward geniuses. Fun discoveries multiply: Leonard learns jealousy is bad for a relationship (with Penny) but science is good for seduction (of Penny). Howard finds life in the International Space Station life is no escape from terrestrial turmoil between his mom and his new wife Bernadette. Raj meets someone special who may be a good match, if he can keep her from fleeing mid-date. And then there's Sheldon. He learns what not to say after facing harassment charges or competing for tenure at work and how Dungeons & Dragons can be the icebreaker his relationship with Amy needs.",,TV_SHOW,,,[35],1418,222.769,2012-09-27 0:00:00,https://image.tmdb.org/t/p/w780/loGfAOaq8mtuCUyRzXPylmogZlA.jpg,https://image.tmdb.org/t/p/w780/loGfAOaq8mtuCUyRzXPylmogZlA.jpg,en,,,TRUE,,,,,6,6,24
Home Alone,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.",,MOVIE,,,"[35, 10751]",771,14.455,1990-11-16 0:00:00,https://image.tmdb.org/t/p/w780/onTSipZ8R3bliBdKfPtsDuHTdlL.jpg,https://image.tmdb.org/t/p/w780/onTSipZ8R3bliBdKfPtsDuHTdlL.jpg,en,,,TRUE,18000000,476684675,103,,,,
Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermiones magical abilities and courage.",,MOVIE,,,"[12, 14]",672,168.499,2002-11-13 0:00:00,https://image.tmdb.org/t/p/w780/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,https://image.tmdb.org/t/p/w780/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,en,,,TRUE,100000000,876688482,161,,,,
Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",,MOVIE,,,"[10751, 16, 12, 35]",211672,35.828,2015-06-17 0:00:00,https://image.tmdb.org/t/p/w780/dr02BdCNAUPVU07aOodwPYv6HCf.jpg,https://image.tmdb.org/t/p/w780/dr02BdCNAUPVU07aOodwPYv6HCf.jpg,en,25192188701,,TRUE,74000000,1159457503,91,,,,
"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",,MOVIE,,,"[12, 35, 80]",134,14.593,2000-08-30 0:00:00,https://image.tmdb.org/t/p/w780/s9foMAcLg8GEzzQzer04qOGdD1k.jpg,https://image.tmdb.org/t/p/w780/s9foMAcLg8GEzzQzer04qOGdD1k.jpg,en,786936144758,,TRUE,26000000,71900000,107,,,,
It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",,MOVIE,,,"[18, 10751, 14]",1585,77.717,1946-12-20 0:00:00,https://image.tmdb.org/t/p/w780/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,https://image.tmdb.org/t/p/w780/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,en,97361313849,,TRUE,3180000,9644124,130,,,,
Christmas with the Kranks,"When their only daughter Blair leaves the family nest, Luther and Nora Krank decide to book an island cruise to beat the yuletide blues and just skip the holidays. But their decision to boycott tradition has the whole neighborhood in an uproar, and when Blair calls on Christmas Eve to announce a surprise visit with her new fiancďż˝e, the Kranks have just twelve hours to perform a miracle and pull themselves and their neighbors together to throw the best celebration ever!",,MOVIE,,,"[35, 10751]",13673,35.826,2004-11-24 0:00:00,https://image.tmdb.org/t/p/w780/q866vL3KhAjbkZH1enT7AoxmRHx.jpg,https://image.tmdb.org/t/p/w780/q866vL3KhAjbkZH1enT7AoxmRHx.jpg,en,43396048614,,TRUE,60000000,0,99,,,,
This Means War,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,,MOVIE,,,"[28, 35, 10749]",59962,26.284,2012-02-14 0:00:00,https://image.tmdb.org/t/p/w780/7d1hwECRc1NZlGfAeYE42ki7Fem.jpg,https://image.tmdb.org/t/p/w780/7d1hwECRc1NZlGfAeYE42ki7Fem.jpg,en,24543755203,,TRUE,65000000,156974557,98,,,,
